Title,Price,Final Price,Link
The Case of the Golden Idol,9.01,10.81,https://www.instant-gaming.com/fr/12726-acheter-the-case-of-the-golden-idol-pc-jeu-steam/
From Space,4.99,5.99,https://www.instant-gaming.com/fr/12929-acheter-from-space-pc-jeu-steam-europe/
SpellForce: Conquest of Eo,18.44,22.13,https://www.instant-gaming.com/fr/13538-acheter-spellforce-conquest-of-eo-pc-jeu-steam/
Forspoken,49.99,59.99,https://www.instant-gaming.com/fr/7111-acheter-forspoken-pc-jeu-steam-europe/
Land of the Vikings,12.99,15.59,https://www.instant-gaming.com/fr/12832-acheter-land-of-the-vikings-pc-jeu-steam-europe/
Definitely Not Fried Chicken,16.47,19.76,https://www.instant-gaming.com/fr/13455-acheter-definitely-not-fried-chicken-pc-jeu-steam/
Cities: Skylines - Content Creator Pack: Heart of Korea,4.49,5.39,https://www.instant-gaming.com/fr/13178-acheter-cities-skylines-content-creator-pack-heart-of-korea-mac-pc-jeu-steam/
Gotham Knights: Deluxe Edition,33.99,40.79,https://www.instant-gaming.com/fr/11163-acheter-gotham-knights-deluxe-edition-deluxe-edition-pc-jeu-steam-europe/
Tropico 6 - New Frontiers,9.19,11.03,https://www.instant-gaming.com/fr/13224-acheter-tropico-6-new-frontiers-pc-mac-jeu-steam/
"Warhammer 40,000: Shootas, Blood & Teef",12.89,15.47,https://www.instant-gaming.com/fr/12323-acheter-warhammer-40-000-shootas-blood-et-teef-pc-mac-jeu-steam/
Prodeus,14.99,17.99,https://www.instant-gaming.com/fr/6343-acheter-prodeus-pc-mac-jeu-steam/
Session: Skate Sim Supporter Edition,16.79,20.15,https://www.instant-gaming.com/fr/12949-acheter-session-skate-sim-supporter-edition-supporter-edition-pc-jeu-steam/
Scorn Deluxe Edition,21.46,25.75,https://www.instant-gaming.com/fr/12401-acheter-scorn-deluxe-edition-deluxe-edition-pc-jeu-steam/
Wild West Dynasty,19.99,23.99,https://www.instant-gaming.com/fr/8353-acheter-wild-west-dynasty-pc-jeu-steam/
Sackboy: A Big Adventure,27.99,33.59,https://www.instant-gaming.com/fr/9667-acheter-sackboy-a-big-adventure-pc-jeu-steam/
Construction Simulator,26.29,31.55,https://www.instant-gaming.com/fr/12936-acheter-construction-simulator-pc-jeu-steam/
Jurassic World Evolution 2: Late Cretaceous Pack,4.78,5.74,https://www.instant-gaming.com/fr/12902-acheter-jurassic-world-evolution-2-late-cretaceous-pack-pc-jeu-steam/
Call of the Wild: The Angler,9.29,11.15,https://www.instant-gaming.com/fr/12658-acheter-call-of-the-wild-the-angler-pc-jeu-steam/
"Warhammer 40,000: Darktide - Imperial Edition",42.99,51.59,https://www.instant-gaming.com/fr/13355-acheter-warhammer-40-000-darktide-imperial-edition-imperial-edition-pc-jeu-steam/
Dragon Ball Xenoverse 2 - Hero of Justice Pack Set,13.99,16.79,https://www.instant-gaming.com/fr/13184-acheter-dragon-ball-xenoverse-2-hero-of-justice-pack-set-pc-jeu-steam/
Snowtopia: Ski Resort Tycoon,6.99,8.39,https://www.instant-gaming.com/fr/6250-acheter-snowtopia-ski-resort-tycoon-pc-jeu-steam/
Pathfinder: Wrath of the Righteous - The Last Sarkorians,8.89,10.67,https://www.instant-gaming.com/fr/13550-acheter-pathfinder-wrath-of-the-righteous-the-last-sarkorians-mac-pc-jeu-steam/
Gotham Knights,24.99,29.99,https://www.instant-gaming.com/fr/7166-acheter-gotham-knights-pc-jeu-steam-europe/
Deliver Us Mars,19.89,23.87,https://www.instant-gaming.com/fr/10676-acheter-deliver-us-mars-pc-jeu-steam/
Forspoken Digital Deluxe Edition,74.89,89.87,https://www.instant-gaming.com/fr/10303-acheter-forspoken-digital-deluxe-edition-digital-deluxe-edition-pc-jeu-steam-europe/
Bravery and Greed,13.5,16.2,https://www.instant-gaming.com/fr/13085-acheter-bravery-and-greed-pc-jeu-steam/
Judgment,33.21,39.85,https://www.instant-gaming.com/fr/12910-acheter-judgment-pc-jeu-steam-europe/
"Honey, I Joined a Cult",12.99,15.59,https://www.instant-gaming.com/fr/9372-acheter-honey-i-joined-a-cult-pc-jeu-steam/
"Warhammer 40,000: Gladius - Adepta Sororitas",14.64,17.57,https://www.instant-gaming.com/fr/13346-acheter-warhammer-40-000-gladius-adepta-sororitas-pc-jeu-steam/
Victoria 3 Grand Edition,40.99,49.19,https://www.instant-gaming.com/fr/12778-acheter-victoria-3-grand-edition-grand-edition-pc-mac-jeu-steam/
Train Sim World 3,23.49,28.19,https://www.instant-gaming.com/fr/12377-acheter-train-sim-world-3-pc-jeu-steam/
Foxhole,21.99,26.39,https://www.instant-gaming.com/fr/5197-acheter-foxhole-pc-jeu-steam/
The Unliving,12.19,14.63,https://www.instant-gaming.com/fr/9379-acheter-the-unliving-pc-mac-jeu-steam/
SnowRunner - 3-Year Anniversary Edition,62.89,75.47,https://www.instant-gaming.com/fr/13321-acheter-snowrunner-3-year-anniversary-edition-3-year-anniversary-edition-pc-jeu-steam/
PGA Tour 2K23,22.99,27.59,https://www.instant-gaming.com/fr/12686-acheter-pga-tour-2k23-pc-jeu-steam-europe/
JoJo’s Bizarre Adventure: All Star Battle R Deluxe Edition,34.99,41.99,https://www.instant-gaming.com/fr/12233-acheter-jojo-s-bizarre-adventure-all-star-battle-r-deluxe-edition-deluxe-edition-pc-jeu-steam/
WWE 2K23,44.99,53.99,https://www.instant-gaming.com/fr/13423-acheter-wwe-2k23-pc-jeu-steam-europe/
Zombie Cure Lab,15.29,18.35,https://www.instant-gaming.com/fr/13497-acheter-zombie-cure-lab-pc-jeu-steam/
Aquatico,14.49,17.39,https://www.instant-gaming.com/fr/13411-acheter-aquatico-pc-jeu-steam/
Train Life: A Railway Simulator Supporter Edition,12.28,14.74,https://www.instant-gaming.com/fr/12979-acheter-train-life-a-railway-simulator-supporter-edition-supporter-edition-pc-jeu-steam/
"Warhammer 40,000: Chaos Gate – Daemonhunters - Duty Eternal",10.99,13.19,https://www.instant-gaming.com/fr/13272-acheter-warhammer-40-000-chaos-gate-daemonhunters-duty-eternal-pc-jeu-steam-europe/
Perish,12.48,14.98,https://www.instant-gaming.com/fr/13284-acheter-perish-pc-jeu-steam/
Lost Eidolons,22.99,27.59,https://www.instant-gaming.com/fr/13323-acheter-lost-eidolons-pc-jeu-steam/
Dragon Ball: The Breakers Special Edition,18.49,22.19,https://www.instant-gaming.com/fr/12662-acheter-dragon-ball-the-breakers-special-edition-special-edition-pc-jeu-steam/
NEO: The World Ends with You,27.89,33.47,https://www.instant-gaming.com/fr/8629-acheter-neo-the-world-ends-with-you-pc-jeu-steam/
Dragon Ball: The Breakers,16.81,20.17,https://www.instant-gaming.com/fr/10087-acheter-dragon-ball-the-breakers-pc-jeu-steam/
Persona 3 Portable,16.99,20.39,https://www.instant-gaming.com/fr/13348-acheter-persona-3-portable-pc-jeu-steam/
Rhythm Sprout: Sick Beats & Bad Sweets,9.97,11.96,https://www.instant-gaming.com/fr/13507-acheter-rhythm-sprout-sick-beats-et-bad-sweets-pc-jeu-steam/
SpiderHeck,8.29,9.95,https://www.instant-gaming.com/fr/12941-acheter-spiderheck-pc-jeu-steam/
Season: A letter to the future,16.89,20.27,https://www.instant-gaming.com/fr/8053-acheter-season-a-letter-to-the-future-pc-jeu-steam/
WWE 2K23 Icon Edition,90.69,108.83,https://www.instant-gaming.com/fr/13537-acheter-wwe-2k23-icon-edition-icon-edition-pc-jeu-steam-europe/
Session: Skate Sim,14.29,17.15,https://www.instant-gaming.com/fr/5735-acheter-session-skate-sim-pc-jeu-steam/
A Plague Tale Bundle,38.58,46.3,https://www.instant-gaming.com/fr/13452-acheter-a-plague-tale-bundle-pc-jeu-steam/
Children of Silentown,10.99,13.19,https://www.instant-gaming.com/fr/13394-acheter-children-of-silentown-pc-jeu-steam/
WRC Generations,18.99,22.79,https://www.instant-gaming.com/fr/11779-acheter-wrc-generations-pc-jeu-steam/
Ship of Fools,12.99,15.59,https://www.instant-gaming.com/fr/11321-acheter-ship-of-fools-pc-jeu-steam/
Gloomhaven - Solo Scenarios: Mercenary Challenges,2.54,3.05,https://www.instant-gaming.com/fr/12934-acheter-gloomhaven-solo-scenarios-mercenary-challenges-pc-mac-jeu-steam/
Trail Out,9.86,11.83,https://www.instant-gaming.com/fr/12823-acheter-trail-out-pc-jeu-steam/
Prison Architect - Undead,2.49,2.99,https://www.instant-gaming.com/fr/13048-acheter-prison-architect-undead-pc-mac-jeu-steam/
WWE 2K23 Deluxe Edition,75.49,90.59,https://www.instant-gaming.com/fr/13536-acheter-wwe-2k23-deluxe-edition-deluxe-edition-pc-jeu-steam-europe/
"Warhammer 40,000: Inquisitor - Martyr - Sororitas Class",12.63,15.16,https://www.instant-gaming.com/fr/13300-acheter-warhammer-40-000-inquisitor-martyr-sororitas-class-pc-jeu-steam/
Mahokenshi,14.99,17.99,https://www.instant-gaming.com/fr/13377-acheter-mahokenshi-pc-jeu-steam-europe/
风帆纪元 Sailing Era,14.06,16.87,https://www.instant-gaming.com/fr/13424-acheter-feng-fan-ji-yuan-sailing-era-pc-jeu-steam/
Blood Bowl 3 Black Orcs Edition,27.49,32.99,https://www.instant-gaming.com/fr/13308-acheter-blood-bowl-3-black-orcs-edition-black-orcs-edition-pc-jeu-steam/
PGA Tour 2K23 Tiger Woods Edition,44.99,53.99,https://www.instant-gaming.com/fr/12744-acheter-pga-tour-2k23-tiger-woods-edition-tiger-woods-edition-pc-jeu-steam-europe/
Blacktail,22.49,26.99,https://www.instant-gaming.com/fr/12716-acheter-blacktail-pc-jeu-steam/
Outerverse,6.99,8.39,https://www.instant-gaming.com/fr/11569-acheter-outerverse-pc-jeu-steam/
The Valiant,13.99,16.79,https://www.instant-gaming.com/fr/11880-acheter-the-valiant-pc-jeu-steam/
Despot's Game: Dystopian Army Builder,12.99,15.59,https://www.instant-gaming.com/fr/9694-acheter-despot-s-game-dystopian-army-builder-pc-mac-jeu-steam/
Neptunia: Sisters VS Sisters,23.69,28.43,https://www.instant-gaming.com/fr/13440-acheter-neptunia-sisters-vs-sisters-pc-jeu-steam/
Master of Magic,21.99,26.39,https://www.instant-gaming.com/fr/13349-acheter-master-of-magic-pc-jeu-steam/
HARVESTELLA,42.99,51.59,https://www.instant-gaming.com/fr/12879-acheter-harvestella-pc-jeu-steam-europe/
Redfall,53.59,64.31,https://www.instant-gaming.com/fr/9019-acheter-redfall-pc-jeu-steam/
Blood Bowl 3 Imperial Nobility Edition,27.49,32.99,https://www.instant-gaming.com/fr/13307-acheter-blood-bowl-3-imperial-nobility-edition-imperial-nobility-edition-pc-jeu-steam/
Ex Natura: Nature Corrupted,6.99,8.39,https://www.instant-gaming.com/fr/13614-acheter-ex-natura-nature-corrupted-pc-jeu-steam/
Larcin Lazer,5.49,6.59,https://www.instant-gaming.com/fr/13568-acheter-larcin-lazer-pc-jeu-steam/
Backfirewall_,6.55,7.86,https://www.instant-gaming.com/fr/13508-acheter-backfirewall-pc-jeu-steam/
Terra Invicta,34.59,41.51,https://www.instant-gaming.com/fr/12187-acheter-terra-invicta-pc-jeu-steam/
Destroy All Humans! 2 Reprobed,13.51,16.21,https://www.instant-gaming.com/fr/8325-acheter-destroy-all-humans-2-reprobed-pc-jeu-steam/
Steelrising - Bastille Edition,32.76,39.31,https://www.instant-gaming.com/fr/12539-acheter-steelrising-bastille-edition-bastille-edition-pc-jeu-steam/
Chivalry 2 King's Edition,26.99,32.39,https://www.instant-gaming.com/fr/13130-acheter-chivalry-2-king-s-edition-king-s-edition-pc-jeu-steam/
